"","     Date","  Duration","   Distance","    Pace","  AverageHR","    MaxHR","AvgRunCadence","AvgStrideLength","ElevationGain","ElevationLoss","    Notes","    Month","Week"," AverageSpeed"," AveragePace"," DurationTime"
"","Min.   :2017-03-26  ","Length:1          ","Min.   :0.775  ","Length:1          ","Min.   :139  ","Min.   :146  ","Min.   :158  ","Min.   :0.82  ","Min.   :0  ","Min.   :0  ","Min.   : NA  ","Mar    :1  ","13:1  ","Min.   :7.75  ","Min.   :465s (~7.75 minutes)  ","Min.   :360s (~6 minutes)  "
"","1st Qu.:2017-03-26  ","Class :character  ","1st Qu.:0.775  ","Class :character  ","1st Qu.:139  ","1st Qu.:146  ","1st Qu.:158  ","1st Qu.:0.82  ","1st Qu.:0  ","1st Qu.:0  ","1st Qu.: NA  ","Jan    :0  ",NA,"1st Qu.:7.75  ","1st Qu.:465s (~7.75 minutes)  ","1st Qu.:360s (~6 minutes)  "
"","Median :2017-03-26  ","Mode  :character  ","Median :0.775  ","Mode  :character  ","Median :139  ","Median :146  ","Median :158  ","Median :0.82  ","Median :0  ","Median :0  ","Median : NA  ","Feb    :0  ",NA,"Median :7.75  ","Median :465s (~7.75 minutes)  ","Median :360s (~6 minutes)  "
"","Mean   :2017-03-26  ",NA,"Mean   :0.775  ",NA,"Mean   :139  ","Mean   :146  ","Mean   :158  ","Mean   :0.82  ","Mean   :0  ","Mean   :0  ","Mean   :NaN  ","Apr    :0  ",NA,"Mean   :7.75  ","Mean   :465s (~7.75 minutes)  ","Mean   :360s (~6 minutes)  "
"","3rd Qu.:2017-03-26  ",NA,"3rd Qu.:0.775  ",NA,"3rd Qu.:139  ","3rd Qu.:146  ","3rd Qu.:158  ","3rd Qu.:0.82  ","3rd Qu.:0  ","3rd Qu.:0  ","3rd Qu.: NA  ","May    :0  ",NA,"3rd Qu.:7.75  ","3rd Qu.:465s (~7.75 minutes)  ","3rd Qu.:360s (~6 minutes)  "
"","Max.   :2017-03-26  ",NA,"Max.   :0.775  ",NA,"Max.   :139  ","Max.   :146  ","Max.   :158  ","Max.   :0.82  ","Max.   :0  ","Max.   :0  ","Max.   : NA  ","Jun    :0  ",NA,"Max.   :7.75  ","Max.   :465s (~7.75 minutes)  ","Max.   :360s (~6 minutes)  "
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA's   :1  ","(Other):0  ",NA,NA,NA,NA
